keys,en,pt,it,zh,ko,ja,sh,gm,fr,pl,tu
COMPOST_HEAP_DESCRIPTION,Produces 1 {ITEM_POOP} per {ANIMAL} in adjacent islands\n+1 {PRODUCTION} to adjacent island {PLANTS} per {ITEM_POOP} produced,Produz 1 {ITEM_POOP} por {ANIMAL} em ilhas adjacentes\n+1 de {PRODUCTION} para {PLANTS} em ilhas adjacentes por {ITEM_POOP} produzido,Produce 1 {ITEM_POOP} per {ANIMAL} nelle isole adiacenti\n+1 {PRODUCTION} alle piante dell'isola adiacente per ogni {ITEM_POOP} prodotto,在相邻岛屿上每个{ANIMAL}产生1个{ITEM_POOP}\n为相邻岛屿上的{PLANTS}每产生一个{ITEM_POOP}提供+1 {PRODUCTION},인접한 섬의 {ANIMAL}마다 1개의 {ITEM_POOP}을 생산합니다\n생산된 {ITEM_POOP}당 인접한 섬의 {PLANTS}에 +1 {PRODUCTION} 제공,隣接する島の{ANIMAL}ごとに1つの{ITEM_POOP}を生産します\n生産された{ITEM_POOP}ごとに隣接する島の{PLANTS}に+1の{PRODUCTION}を提供します,Produce 1 {ITEM_POOP} por {ANIMAL} en islas adyacentes\n+1 {PRODUCTION} a las {PLANTS} de la isla adyacente por cada {ITEM_POOP} producido,Produziert 1 {ITEM_POOP} pro {ANIMAL} auf benachbarten Inseln\n+1 {PRODUCTION} für {PLANTS} auf benachbarten Inseln pro produziertem {ITEM_POOP},Produit 1 {ITEM_POOP} par {ANIMAL} sur les îles adjacentes\n+1 {PRODUCTION} aux {PLANTS} de l'île adjacente par {ITEM_POOP} produit,Wytwarza 1 {ITEM_POOP} na {ANIMAL} na sąsiednich wyspach\n+1 {PRODUCTION} do {PLANTS} na sąsiedniej wyspie za każde wyprodukowane {ITEM_POOP},Bitişik adalardaki her {ANIMAL} başına 1 {ITEM_POOP} üretir\nÜretilen her {ITEM_POOP} için bitişik adadaki {PLANTS}’a +1 {PRODUCTION} ekler
CHOCOLATE_CHIPS_COOKIE,Chocolate Chips Cookie,Biscoito com Chocolate,Biscotto con Gocce di Cioccolato,巧克力豆饼干,초콜릿 칩 쿠키,チョコチップクッキー,Galleta con Chispas de Chocolate,Schokoladenkekse mit Schokoladenstückchen,Cookie aux Pépites de Chocolat,Ciastko z Kawałkami Czekolady,Çikolata Parçacıklı Kurabiye
COOKIE,Cookie,Biscoito,Biscotto,饼干,쿠키,クッキー,Galleta,Keks,Biscuit,Ciastko,Kurabiye
SCARECROW,Scarecrow,Espantalho,Spaventapasseri,稻草人,허수아비,かかし,Espantapájaros,Vogelscheuche,Épouvantail,Strach na wrony,Korkuluk
SCARECROW_DESCRIPTION,50% chance to prevent the destruction of {PLANTS} on same island\n+5 {PRODUCTION} to {PLANTS} on same island,50% de chance de prevenir a destruição de {PLANTS} na mesma ilha\n+5 {PRODUCTION} para {PLANTS} na mesma ilha,50% di probabilità di prevenire la distruzione di {PLANTS} sulla stessa isola\n+5 {PRODUCTION} per {PLANTS} sulla stessa isola,50%几率防止同一岛上的{PLANTS}被摧毁\n+5 {PRODUCTION}给同一岛上的{PLANTS},동일한 섬에서 {PLANTS} 파괴를 방지할 확률 50%\n동일한 섬의 {PLANTS}에게 +5 {PRODUCTION},同じ島の{PLANTS}の破壊を防ぐ確率50%\n同じ島の{PLANTS}に+5 {PRODUCTION},50% de probabilidad de prevenir la destrucción de {PLANTS} en la misma isla\n+5 {PRODUCTION} para {PLANTS} en la misma isla,"50% Wahrscheinlichkeit, die Zerstörung von {PLANTS} auf derselben Insel zu verhindern\n+5 {PRODUCTION} für {PLANTS} auf derselben Insel",50% de chance de prévenir la destruction de {PLANTS} sur la même île\n+5 {PRODUCTION} pour {PLANTS} sur la même île,50% szansy na zapobieżenie zniszczeniu {PLANTS} na tej samej wyspie\n+5 {PRODUCTION} dla {PLANTS} na tej samej wyspie,Aynı adadaki {PLANTS}ın yok edilmesini önlemek için %50 şans\nAynı adadaki {PLANTS} için +5 {PRODUCTION}
CROW,Crow,Corvo,Corvo,乌鸦,까마귀,カラス,Cuervo,Krähe,Corbeau,Wrona,Karga
CROW_DESCRIPTION,"Tries to destroy 1 adjacent island {GROUP_WHEATS} per turn, +10 {PRODUCTION} to adjacent island {PLANTS} per 4 tries","Tenta destruir 1 {GROUP_WHEATS} em uma ilha adjacente por turno, +10 de {PRODUCTION} para {PLANTS} em ilhas adjacentes a cada 4 tentativas","Cerca di distruggere 1 {GROUP_WHEATS} su un'isola adiacente a turno, +10 {PRODUCTION} su un'isola adiacente a ogni 4 tentativi",每轮尝试摧毁1个相邻岛上的{GROUP_WHEATS}，每4次尝试+10 {PRODUCTION}给相邻岛上的{PLANTS},"+10번 시도마다 인접한 섬의 {GROUP_WHEATS} 1개 파괴 시도, +4번 시도마다 인접한 섬의 {PLANTS}에 +10 {PRODUCTION}",1ターンごとに隣接する島の{GROUP_WHEATS}を1つ破壊しようとし、4回の試行ごとに隣接する島の{PLANTS}に+10 {PRODUCTION},"+10 intentos de destruir 1 {GROUP_WHEATS} en una isla adyacente por turno, +10 {PRODUCTION} en islas adyacentes cada 4 intentos","+10 Versuche, 1 benachbarte Insel {GROUP_WHEATS} pro Zug zu zerstören, +10 {PRODUCTION} auf benachbarten Inseln pro 4 Versuche","+10 tentatives de détruire 1 {GROUP_WHEATS} sur une île adjacente par tour, +10 {PRODUCTION} sur des îles adjacentes tous les 4 essais","+10 prób przy próbie zniszczenia 1 {GROUP_WHEATS} na sąsiedniej wyspie za każdym razem, +10 {PRODUCTION} na sąsiedniej wyspie za każde 4 próby","+10 denemede bir yanındaki ada {GROUP_WHEATS} 1'ini yok etmeye çalışır, her 4 denemede yanındaki ada {PLANTS} için +10 {PRODUCTION}"
PENGUIN,Penguin,Pinguin,Pinguino,企鹅,펭귄,ペンギン,Pingüino,Penguin,Pingouin,Pingwin,Penguen
PENGUIN_DESCRIPTION,4x {PRODUCTION} per empty adjacent space or {STRUCTURE_LAKE}\n+5 {PRODUCTION} to adjacent island {GROUP_CRABS} if they are in a {STRUCTURE_LAKE},4x {PRODUCTION} por espaço vazio adjacente ou {STRUCTURE_LAKE}\n+5 de {PRODUCTION} para {GROUP_CRABS} adjacentes que estejam em um {STRUCTURE_LAKE},4x {PRODUCTION} per ogni spazio adiacente vuoto o {STRUCTURE_LAKE}\n+5 {PRODUCTION} all'isola adiacente {GROUP_CRABS} se si trovano in un {STRUCTURE_LAKE},每个空旷的相邻空间或{STRUCTURE_LAKE}4x {PRODUCTION}\n如果{GROUP_CRABS}在{STRUCTURE_LAKE}中，邻近岛屿额外+5 {PRODUCTION},인접한 빈 공간이나 {STRUCTURE_LAKE}마다 4x {PRODUCTION}\n{GROUP_CRABS}가 {STRUCTURE_LAKE}에 있으면 인접한 섬에 +5 {PRODUCTION},隣接する空のスペースまたは{STRUCTURE_LAKE}ごとに4倍の{PRODUCTION}\n{GROUP_CRABS}が{STRUCTURE_LAKE}にある場合、隣接する島に+5 {PRODUCTION},4x {PRODUCTION} por cada espacio adyacente vacío o {STRUCTURE_LAKE}\n+5 {PRODUCTION} a la isla adyacente {GROUP_CRABS} si están en un {STRUCTURE_LAKE},"4x {PRODUCTION} pro leeren angrenzenden Raum oder {STRUCTURE_LAKE}\n+5 {PRODUCTION} zur angrenzenden Insel {GROUP_CRABS}, wenn sie in einem {STRUCTURE_LAKE} sind",4x {PRODUCTION} par espace adjacent vide ou {STRUCTURE_LAKE}\n+5 {PRODUCTION} à l'île adjacente {GROUP_CRABS} s'ils sont dans un {STRUCTURE_LAKE},"4x {PRODUCTION} za każdą pustą przestrzeń obok lub {STRUCTURE_LAKE}\n+5 {PRODUCTION} do sąsiedniej wyspy {GROUP_CRABS}, jeśli znajdują się w {STRUCTURE_LAKE}",Boş bitişik alanda veya {STRUCTURE_LAKE} başına 4x {PRODUCTION}\nEğer {GROUP_CRABS} bir {STRUCTURE_LAKE} içindeyse bitişik adaya +5 {PRODUCTION}
CHRISTMAS_TREE,Christmas Tree,Árvore de Natal,Albero di Natale,圣诞树,크리스마스 트리,クリスマスツリー,Árbol de Navidad,Weihnachtsbaum,Sapin de Noël,Choinka,Noel Ağacı
CHRISTMAS_TREE_DESCRIPTION,"Triples the value of items made in adjacent islands, there can only be 1 per island","Triplica o valor dos itens feitos em ilhas adjacentes, só pode haver 1 por ilha","Triplica il valore degli oggetti prodotti nelle isole adiacenti, ne può esserci solo 1 per isola",在相邻的岛屿中三倍价值的物品，每个岛屿只能有1个,인접한 섬에서 만든 아이템의 가치를 세 배로 증가시킵니다. 섬 당 1개만 가능합니다.,隣接する島で作られたアイテムの価値を3倍にし、1つの島につき1つしかできません,"Triplica el valor de los objetos fabricados en islas adyacentes, solo puede haber 1 por isla","Verdreifacht den Wert der in benachbarten Inseln hergestellten Gegenstände, es kann nur 1 pro Insel geben","Triple la valeur des objets fabriqués dans les îles adjacentes, il ne peut y en avoir qu'un par île","Potraja wartość przedmiotów wykonanych na sąsiednich wyspach, może być tylko 1 na wyspie","Bitişik adalardaki yapılan eşyaların değerini üç katına çıkarır, her adada sadece 1 adet olabilir"
ELF,Elf,Duende,Elfo,精灵,엘프,エルフ,Elfo,Elf,Elfo,Elf,Elf
ELF_DESCRIPTION,Turns adjacent island trees into {PLANT_CHRISTMAS_TREE}\n+1 {PRODUCTION} per adjacent island {PLANT_CHRISTMAS_TREE},Transforma árvores adjacentes em {PLANT_CHRISTMAS_TREE}\n+1 de {PRODUCTION} por {PLANT_CHRISTMAS_TREE} adjacente,Trasforma gli alberi delle isole adiacenti in {PLANT_CHRISTMAS_TREE}\n+1 di {PRODUCTION} per ogni isola adiacente {PLANT_CHRISTMAS_TREE},将相邻岛屿的树木变为{PLANT_CHRISTMAS_TREE}\n相邻岛屿的每个{PLANT_CHRISTMAS_TREE}增加+1 {PRODUCTION},인접한 섬의 나무를 {PLANT_CHRISTMAS_TREE}로 변환\n인접한 섬의 {PLANT_CHRISTMAS_TREE}당 +1 {PRODUCTION},隣接する島の木を{PLANT_CHRISTMAS_TREE}に変える\n隣接する島の{PLANT_CHRISTMAS_TREE}ごとに+1 {PRODUCTION},Transforma los árboles de las islas adyacentes en {PLANT_CHRISTMAS_TREE}\n+1 {PRODUCTION} por cada isla adyacente {PLANT_CHRISTMAS_TREE},Verwandelt die Bäume benachbarter Inseln in {PLANT_CHRISTMAS_TREE}\n+1 {PRODUCTION} pro angrenzender Insel {PLANT_CHRISTMAS_TREE},Transforme les arbres des îles adjacentes en {PLANT_CHRISTMAS_TREE}\n+1 {PRODUCTION} par île adjacente {PLANT_CHRISTMAS_TREE},Przemienia drzewa na sąsiednich wyspach w {PLANT_CHRISTMAS_TREE}\n+1 {PRODUCTION} na każdą sąsiednią wyspę {PLANT_CHRISTMAS_TREE},Bitişik adalardaki ağaçları {PLANT_CHRISTMAS_TREE} haline getirir\nHer bitişik adadaki {PLANT_CHRISTMAS_TREE} başına +1 {PRODUCTION}
TURKEY_MEAT,Turkey,Peru,Tacchino,火鸡,칠면조,七面鳥,Pavo,Truthahn,Dinde,Indyk,Hindi
TURKEY,Turkey,Peru,Tacchino,火鸡,칠면조,七面鳥,Pavo,Truthahn,Dinde,Indyk,Hindi
TURKEY_DESCRIPTION,Double its {PRODUCTION} per adjacent island {PLANT_CHRISTMAS_TREE}\nAfter 4 turns dies giving 1 {ITEM_TURKEY_MEAT},Dobra sua {PRODUCTION} por {PLANT_CHRISTMAS_TREE} em ilhas adjacentes\nDepois de 4 turnos morre dando 1 {ITEM_TURKEY_MEAT},Raddoppia la sua {PRODUCTION} per ogni isola adiacente {PLANT_CHRISTMAS_TREE}\nDopo 4 turni muore dando 1 {ITEM_TURKEY_MEAT},每个相邻岛屿的{PLANT_CHRISTMAS_TREE}使它的{PRODUCTION}加倍\n4回合后死亡，留下1个{ITEM_TURKEY_MEAT},인접한 섬의 {PLANT_CHRISTMAS_TREE}마다 {PRODUCTION}을 두 배로 늘림\n4턴 후에 죽어서 1개의 {ITEM_TURKEY_MEAT}를 줌,隣接する島の{PLANT_CHRISTMAS_TREE}ごとにその{PRODUCTION}を倍にする\n4ターン後に死亡し、1つの{ITEM_TURKEY_MEAT}を与える,Duplica su {PRODUCTION} por cada isla adyacente {PLANT_CHRISTMAS_TREE}\nDespués de 4 turnos muere dando 1 {ITEM_TURKEY_MEAT},Verdoppelt seine {PRODUCTION} pro angrenzender Insel {PLANT_CHRISTMAS_TREE}\nNach 4 Zügen stirbt es und gibt 1 {ITEM_TURKEY_MEAT},Double sa {PRODUCTION} par île adjacente {PLANT_CHRISTMAS_TREE}\nAprès 4 tours meurt en donnant 1 {ITEM_TURKEY_MEAT},Podwaja swoją {PRODUCTION} na każdej sąsiedniej wyspie {PLANT_CHRISTMAS_TREE}\nPo 4 turach umiera dając 1 {ITEM_TURKEY_MEAT},Bitişik her adadaki {PLANT_CHRISTMAS_TREE} başına {PRODUCTION}'ını iki katına çıkarır\n4 tur sonra ölerek 1 {ITEM_TURKEY_MEAT} verir
SANTA_CLAWS,Santa Claws,Papai Cruel,Santa Artigli,圣诞狼,불량한 산타,サンタ・クローズ,Santa Garras,Santa Klauen,Père Grincheux,Santa Pazury,Kötü Noel Kurt
SANTA_CLAWS_DESCRIPTION,Turns all {GROUP_SHEEPS} in a 3 island range into {ANIMAL_GINGERBREAD_MAN} and all {PLANT_SUGARCANE} on the farm into {PLANT_SWEET_CANE}\n{GROUP_WOLVES} now eat {ANIMAL_GINGERBREAD_MAN} instead of {GROUP_SHEEPS},Transforma todas as {GROUP_SHEEPS} no alcance de 3 ilhas em {ANIMAL_GINGERBREAD_MAN} e todas as {PLANT_SUGARCANE} da fazenda em {PLANT_SWEET_CANE}\n{GROUP_WOLVES} agora comem {ANIMAL_GINGERBREAD_MAN} ao invés de {GROUP_SHEEPS},Trasforma tutti i {GROUP_SHEEPS} in un raggio di 3 isole in {ANIMAL_GINGERBREAD_MAN} e tutte le {PLANT_SUGARCANE} in fattoria in {PLANT_SWEET_CANE}\n{GROUP_WOLVES} ora mangiano {ANIMAL_GINGERBREAD_MAN} invece di {GROUP_SHEEPS},将3个岛屿范围内的所有{GROUP_SHEEPS}变成{ANIMAL_GINGERBREAD_MAN}，并将农场上的所有{PLANT_SUGARCANE}变成{PLANT_SWEET_CANE}\n{GROUP_WOLVES}现在吃{ANIMAL_GINGERBREAD_MAN}而不是{GROUP_SHEEPS},{GROUP_WOLVES}는 이제 {GROUP_SHEEPS} 대신 {ANIMAL_GINGERBREAD_MAN}을 먹습니다. 3개의 섬 범위 내의 모든 {GROUP_SHEEPS}도 {ANIMAL_GINGERBREAD_MAN}로 바뀝니다. 농장의 모든 {PLANT_SUGARCANE}도 {PLANT_SWEET_CANE}으로 바뀝니다.,{GROUP_WOLVES}は今、{GROUP_SHEEPS}の代わりに{ANIMAL_GINGERBREAD_MAN}を食べます。3つの島の範囲内のすべての{GROUP_SHEEPS}が{ANIMAL_GINGERBREAD_MAN}に変わり、ファームのすべての{PLANT_SUGARCANE}が{PLANT_SWEET_CANE}に変わります。,Transforma a todas las {GROUP_SHEEPS} en un radio de 3 islas en {ANIMAL_GINGERBREAD_MAN} y todas las {PLANT_SUGARCANE} de la granja en {PLANT_SWEET_CANE}\n{GROUP_WOLVES} ahora comen {ANIMAL_GINGERBREAD_MAN} en lugar de {GROUP_SHEEPS},Verwandelt alle {GROUP_SHEEPS} in einem 3-Insel-Bereich in {ANIMAL_GINGERBREAD_MAN} und alle {PLANT_SUGARCANE} auf der Farm in {PLANT_SWEET_CANE}\n{GROUP_WOLVES} fressen jetzt {ANIMAL_GINGERBREAD_MAN} statt {GROUP_SHEEPS},Transforme tous les {GROUP_SHEEPS} dans une plage de 3 îles en {ANIMAL_GINGERBREAD_MAN} et toutes les {PLANT_SUGARCANE} de la ferme en {PLANT_SWEET_CANE}\n{GROUP_WOLVES} mangent maintenant {ANIMAL_GINGERBREAD_MAN} au lieu de {GROUP_SHEEPS},Zmienia wszystkie {GROUP_SHEEPS} w zasięgu 3 wysp w {ANIMAL_GINGERBREAD_MAN} oraz wszystkie {PLANT_SUGARCANE} na farmie w {PLANT_SWEET_CANE}\n{GROUP_WOLVES} teraz jedzą {ANIMAL_GINGERBREAD_MAN} zamiast {GROUP_SHEEPS},3 adalık bir menzildeki tüm {GROUP_SHEEPS}'leri {ANIMAL_GINGERBREAD_MAN}'e ve çiftlikteki tüm {PLANT_SUGARCANE}'leri {PLANT_SWEET_CANE}'e dönüştürür\n{GROUP_WOLVES} artık {GROUP_SHEEPS} yerine {ANIMAL_GINGERBREAD_MAN} yer
JINGLE_CLUCKS,Jingle Clucks,Galo Noel,Canto Cláusula,叽叽叽圣诞老鸡,징글 클러크,ジングル・クラックス,Canto Claus,Glockenhahn,Cloc-Cloc Noël,Dzwoniący Kogut,Tatlı Noel Tavuğu
JINGLE_CLUCKS_DESCRIPTION,+8 {PRODUCTION} to {PLANT_APPLE_TREE} and {PLANT_GRAPES} in the whole farm for every adjacent {ANIMAL_ELF}\nTurns {GROUP_CHICKENS} in a 3 island range into {ANIMAL_TURKEY},+8 de {PRODUCTION} para {PLANT_APPLE_TREE} e {PLANT_GRAPES} em toda a fazenda por cada {ANIMAL_ELF} adjacente\nTransforma {GROUP_CHICKENS} no alcance de 3 ilhas em {ANIMAL_TURKEY},+8 di {PRODUCTION} per {PLANT_APPLE_TREE} e {PLANT_GRAPES} in tutta la fattoria per ogni {ANIMAL_ELF} adiacente\nTrasforma {GROUP_CHICKENS} in un raggio di 3 isole in {ANIMAL_TURKEY},全农场每个相邻的{ANIMAL_ELF}都会给{PLANT_APPLE_TREE}和{PLANT_GRAPES}增加8 {PRODUCTION}\n将3个岛屿范围内的{GROUP_CHICKENS}变为{ANIMAL_TURKEY},+8 {PRODUCTION}을 모든 농장의 {PLANT_APPLE_TREE}와 {PLANT_GRAPES}에 인접한 {ANIMAL_ELF}마다 제공합니다\n3개의 섬 범위 내의 {GROUP_CHICKENS}을 {ANIMAL_TURKEY}로 변환합니다,隣接する{ANIMAL_ELF}ごとに農場全体の{PLANT_APPLE_TREE}と{PLANT_GRAPES}に+8 {PRODUCTION}\n3つの島の範囲内の{GROUP_CHICKENS}を{ANIMAL_TURKEY}に変える,+8 de {PRODUCTION} para {PLANT_APPLE_TREE} y {PLANT_GRAPES} en toda la granja por cada {ANIMAL_ELF} adyacente\nConvierte {GROUP_CHICKENS} en un rango de 3 islas en {ANIMAL_TURKEY},+8 {PRODUCTION} für {PLANT_APPLE_TREE} und {PLANT_GRAPES} auf der gesamten Farm für jeden angrenzenden {ANIMAL_ELF}\nVerwandelt {GROUP_CHICKENS} in einem Umkreis von 3 Inseln in {ANIMAL_TURKEY},+8 de {PRODUCTION} pour {PLANT_APPLE_TREE} et {PLANT_GRAPES} dans toute la ferme pour chaque {ANIMAL_ELF} adjacent\nTransforme {GROUP_CHICKENS} dans un rayon de 3 îles en {ANIMAL_TURKEY},+8 {PRODUCTION} do {PLANT_APPLE_TREE} i {PLANT_GRAPES} na całej farmie za każdego sąsiadującego {ANIMAL_ELF}\nZamienia {GROUP_CHICKENS} w zasięgu 3 wysp na {ANIMAL_TURKEY},+8 {PRODUCTION} her bitişik {ANIMAL_ELF} için tüm çiftlikte {PLANT_APPLE_TREE} ve {PLANT_GRAPES} için\n3 ada menzilindeki {GROUP_CHICKENS}'ı {ANIMAL_TURKEY}'ye dönüştürür
SANTAS_REINDEER,Santa's Reindeer,Rena do Papai Noel,Renne di Babbo Natale,圣诞老人的驯鹿,산타의 순록,サンタのトナカイ,Renos de Santa,Santa's Rentiere,Rennes du Père Noël,Renifery Świętego Mikołaja,Santa'nın Geyikleri
SANTAS_REINDEER_DESCRIPTION,There can only be 9 {ANIMAL_SANTAS_REINDEER}\n+5 {PRODUCTION} to all {PLANT_APPLE_TREE} per {ITEM_GIFT} made on the farm,Só pode haver 9 {ANIMAL_SANTAS_REINDEER}\n+5 de {PRODUCTION} para todas {PLANT_APPLE_TREE} da fazenda por {ITEM_GIFT} feito,Possono esserci solo 9 {ANIMAL_SANTAS_REINDEER}\n+5 {PRODUCTION} a tutti i {PLANT_APPLE_TREE} per ogni {ITEM_GIFT} prodotto nella fattoria,只能有9个{ANIMAL_SANTAS_REINDEER}\n农场每制作一个{ITEM_GIFT}，所有{PLANT_APPLE_TREE}增加5 {PRODUCTION},농장에서 {ITEM_GIFT}를 만들 때마다 모든 {PLANT_APPLE_TREE}에 +5 {PRODUCTION}이 있을 수 있는 {ANIMAL_SANTAS_REINDEER}는 9마리뿐입니다,農場で{ITEM_GIFT}を作るごとに、全ての{PLANT_APPLE_TREE}に+5{PRODUCTION}、{ANIMAL_SANTAS_REINDEER}は9頭だけです,Solo puede haber 9 {ANIMAL_SANTAS_REINDEER}\n+5 {PRODUCTION} para todos los {PLANT_APPLE_TREE} por cada {ITEM_GIFT} hecho en la granja,Es können nur 9 {ANIMAL_SANTAS_REINDEER} geben\n+5 {PRODUCTION} für alle {PLANT_APPLE_TREE} pro auf der Farm gemachtem {ITEM_GIFT},Il ne peut y avoir que 9 {ANIMAL_SANTAS_REINDEER}\n+5 {PRODUCTION} à tous les {PLANT_APPLE_TREE} par {ITEM_GIFT} fabriqué à la ferme,Może być tylko 9 {ANIMAL_SANTAS_REINDEER}\n+5 {PRODUCTION} do wszystkich {PLANT_APPLE_TREE} za każdy {ITEM_GIFT} wykonany na farmie,"Çiftlikte yapılan her {ITEM_GIFT} başına tüm {PLANT_APPLE_TREE} için +5 {PRODUCTION} olabilir, sadece 9 {ANIMAL_SANTAS_REINDEER} olabilir"
GINGERBREAD_MAN,Gingerbread Man,Homem de Gengibre,Uomo di Pan di Zenzero,姜饼人,생강빵 남자,ジンジャーブレッドマン,Hombre de Jengibre,Lebkuchenmann,Bonhomme en Pain d'Épice,Piernikowy Człowiek,Zencefilli Adam
GINGERBREAD_MAN_DESCRIPTION,"If it eats, another {ANIMAL_GINGERBREAD_MAN} is born on the same island","Se comer, nasce outro {ANIMAL_GINGERBREAD_MAN} na mesma ilha","Se mangia, nasce un altro {ANIMAL_GINGERBREAD_MAN} sulla stessa isola",如果它吃东西，同一个岛上就会诞生另一个{ANIMAL_GINGERBREAD_MAN},먹으면 같은 섬에 다른 {ANIMAL_GINGERBREAD_MAN}가 태어납니다,食べると、同じ島に別の{ANIMAL_GINGERBREAD_MAN}が生まれる,"Si come, nace otro {ANIMAL_GINGERBREAD_MAN} en la misma isla","Wenn es isst, wird ein weiterer {ANIMAL_GINGERBREAD_MAN} auf derselben Insel geboren","S'il mange, un autre {ANIMAL_GINGERBREAD_MAN} naît sur la même île","Jeśli zje, na tej samej wyspie rodzi się inny {ANIMAL_GINGERBREAD_MAN}","Yerse, aynı adada başka bir {ANIMAL_GINGERBREAD_MAN} doğar"
GIFT,Gift,Presente,Regalo,礼物,선물,ギフト,Regalo,Geschenk,Cadeau,Prezent,Hediye
GINGERBREAD,Gingerbread,Pão de Gengibre,Pan di zenzero,姜饼,생강빵,ジンジャーブレッド,Pan de jengibre,Lebkuchen,Pain d'épices,Piernik,Zencefilli ekmek
ELF_EGG,Elf Egg,Ovo de Elfo,Uovo di Elfo,精灵蛋,엘프의 달걀,エルフの卵,Huevo de elfo,Elfen-Ei,Œuf d'elfe,Jajo elfa,Elf Yumurtası
CANDIED_FRUIT,Candied Fruit,Frutas Cristalizadas,Frutta Candita,蜜饯,절임 과일,砂糖漬けの果物,Fruta confitada,Kandierte Früchte,Fruits confits,Kandyzowane owoce,Şekerlenmiş Meyve
PANETTONE,Panettone,Panetone,Panettone,意大利圣诞面包,파네토네,パネトーネ,Panettone,Panettone,Panettone,Panettone,Panettone
PANETTONE_DOUGH,Panettone Dough,Massa de Panetone,Impasto per Panettone,意大利圣诞面包面团,파네토네 반죽,パネトーネの生地,Masa de Panettone,Panettone-Teig,Pâte de Panettone,Ciasto na Panettone,Panettone Hamuru
CHOCOTTONE,Chocottone,Chocotone,Chocottone,巧克力圣诞面包,초코토네,チョコットーネ,Chocottone,Chocottone,Chocottone,Chocottone,Çikolatalı Panettone
CHOCOTTONE_DOUGH,Chocottone Dough,Massa de Chocotone,Impasto per Chocottone,巧克力圣诞面包面团,초코토네 반죽,チョコットーネの生地,Masa de Chocottone,Chocottone-Teig,Pâte de Chocottone,Ciasto na Chocottone,Çikolatalı Panettone Hamuru
SWEET_CANE,Sweet Cane,Bengala Doce,Canna Dolce,甜蔗,달콤한 지팡이,スウィートケイン,Caña Dulce,Süßer Stock,Canne Douce,Słodka laska,Tatlı Kamış
